,missing_count,missing_pct
has_health_insur,12274,45.96
income_level,4423,16.56
dr_recc_h1n1_vacc,2160,8.09
dr_recc_seasonal_vacc,2160,8.09
housing_status,2042,7.65
employment,1463,5.48
marital_status,1408,5.27
qualification,1407,5.27
chronic_medic_condition,971,3.64
cont_child_undr_6_mnths,820,3.07
is_health_worker,804,3.01
sick_from_seas_vacc,537,2.01
is_seas_risky,514,1.92
is_seas_vacc_effective,462,1.73
sick_from_h1n1_vacc,395,1.48
is_h1n1_vacc_effective,391,1.46
is_h1n1_risky,388,1.45
no_of_adults,249,0.93
no_of_children,249,0.93
contact_avoidance,208,0.78
avoid_touch_face,128,0.48
h1n1_awareness,116,0.43
h1n1_worry,92,0.34
avoid_large_gatherings,87,0.33
reduced_outside_home_cont,82,0.31
antiviral_medication,71,0.27
wash_hands_frequently,42,0.16
bought_face_mask,19,0.07
